"","nation","hospitalized_with_symptoms","intensive_care","hospitalized_total","home_isolation","positives_remaining","num_positives_variation","new_positives","total_discharged_healed","total_deceased","casi_da_sospetto_diagnostico","casi_da_screening","total_cases","tests","casi_testati","note","ingressi_intensive_care","notes_test","notes_casi","positives_remaining_test_molecolare","positives_remaining_test_antigenico_rapido","tests_test_molecolare","tests_test_antigenico_rapido","dt","total_cases_delta","intensive_care_delta","hospitalized_with_symptoms_delta","home_isolation_delta","total_discharged_healed_delta","total_deceased_delta","tests_delta","new_positives_delta","positives_remaining_delta","hospitalized_total_delta","tests_per_new_positives","total_tests_per_cases_ratio","positives_remaining_previous","positives_remaining_percent_delta","deceased_per_positives_day_before_ratio","discharged_healed_per_positives_day_before_ratio"
"407","ITA",28785,3737,32522,537574,570096,1061,10680,2997522,111326,NA,NA,3678944,51302838,23394151,"",192,NA,NA,3560533,118411,41106214,10196624,2021-04-05,10680,34,353,674,9323,296,102795,-7345,1061,387,9.625,13.9449901928379,569035,0.186456017643906,0.0520178899364714,1.6383877968842
"408","ITA",29337,3743,33080,522625,555705,-14391,7767,3019255,111747,NA,NA,3686707,51415800,23425293,"",221,NA,NA,3567839,118868,41176828,10238972,2021-04-06,7763,6,552,-14949,21733,421,112962,-2913,-14391,558,14.5438393202008,13.9462669531373,570096,-2.52431169487244,0.073847211697679,3.81216496870702
"409","ITA",29316,3683,32999,514838,547837,-7868,13708,3040182,112374,NA,NA,3700393,51755739,23517311,"",276,NA,NA,3579829,120564,41346000,10409739,2021-04-07,13686,-60,-21,-7787,20927,627,339939,5941,-7868,-81,24.7985847680187,13.9865519689395,555705,-1.41585913389298,0.112829648824466,3.76584698716045
"410","ITA",28851,3663,32514,511816,544330,-3507,17221,3060411,112861,NA,NA,3717602,52117901,23625279,"",259,NA,NA,3595935,121667,41554856,10563045,2021-04-08,17209,-20,-465,-3022,20229,487,362162,3513,-3507,-485,21.0302537599443,14.0192255652972,547837,-0.640153914394245,0.0888950545508974,3.6925216807189
"411","ITA",28146,3603,31749,504612,536361,-7969,18938,3086586,113579,NA,NA,3736526,52466904,23732862,"",192,NA,NA,3613896,122630,41756390,10710514,2021-04-09,18924,-60,-705,-7204,26175,718,349003,1717,-7969,-765,18.4287147534058,14.0416269015658,544330,-1.46400161666636,0.131905278048243,4.80866386199548
"412","ITA",27654,3588,31242,501843,533085,-3276,17567,3107069,113923,NA,NA,3754077,52801766,23835131,"",186,NA,NA,3630408,123669,41945129,10856637,2021-04-10,17551,-15,-492,-2769,20483,344,334862,-1371,-3276,-507,19.0619912335629,14.0651792704305,536361,-0.610782663169022,0.0641359084646348,3.81888317756138
"413","ITA",27251,3585,30836,502169,533005,-80,15746,3122555,114254,NA,NA,3769814,53054866,23920532,"",175,NA,NA,3645548,124266,42107589,10947277,2021-04-11,15737,-3,-403,326,15486,331,253100,-1821,-80,-406,16.0739235361362,14.0736031008426,533085,-0.0150069876286146,0.0620914113133928,2.90497763020907
"414","ITA",27329,3593,30922,493495,524417,-8588,9789,3140565,114612,NA,NA,3779594,53245501,23970623,"",167,NA,NA,3655050,124544,42200462,11045039,2021-04-12,9780,8,78,-8674,18010,358,190635,-5957,-8588,86,19.4744100520993,14.0876244908845,533005,-1.6112419208075,0.0671663492837778,3.37895516927609
"415","ITA",26952,3526,30478,488742,519220,-5197,13447,3158725,115088,NA,NA,3793033,53550491,24058301,"",242,NA,NA,3667114,125919,42353108,11197383,2021-04-13,13439,-67,-377,-4753,18160,476,304990,3658,-5197,-444,22.6808953669964,14.1181189301543,524417,-0.991005249639123,0.0907674617718342,3.46289307936242
"416","ITA",26369,3490,29859,484801,514660,-4560,16168,3178976,115557,NA,NA,3809193,53885257,24160306,"",216,NA,NA,3682451,126742,42550896,11334361,2021-04-14,16160,-36,-583,-3941,20251,469,334766,2721,-4560,-619,20.7054675903018,14.146108375186,519220,-0.878240437579446,0.0903277993913948,3.90027348715381
"417","ITA",25587,3417,29004,481019,510023,-4637,16974,3200196,115937,NA,NA,3826156,54204890,24260858,"",211,NA,NA,3698718,127438,42736949,11467941,2021-04-15,16963,-73,-782,-3782,21220,380,319633,806,-4637,-855,18.8307411334983,14.1669315103723,514660,-0.900983173357168,0.0738351533050946,4.12311040298449
"418","ITA",24743,3366,28109,478629,506738,-3285,15943,3218975,116366,NA,NA,3842079,54532594,24362434,"",199,NA,NA,3713779,128300,42916593,11616001,2021-04-16,15923,-51,-844,-2390,18779,429,327704,-1031,-3285,-895,20.5547262121307,14.1935118981156,510023,-0.644088599925886,0.0841138536889513,3.68199081217906
"419","ITA",24100,3340,27440,477868,505308,-1430,15370,3235459,116676,NA,NA,3857443,54864328,24464082,"",163,NA,NA,3728414,129029,43098914,11765414,2021-04-17,15364,-26,-643,-761,16484,310,331734,-573,-1430,-669,21.5832140533507,14.2229782786162,506738,-0.282197111722429,0.0611755976461209,3.25296306967309
"420","ITA",23648,3311,26959,477652,504611,-697,12694,3248593,116927,NA,NA,3870131,55094444,24545390,"",163,NA,NA,3740609,129522,43245505,11848939,2021-04-18,12688,-29,-452,-216,13134,251,230116,-2676,-697,-481,18.1279344572239,14.2358085553176,505308,-0.137935674875521,0.0496726748834374,2.59920682039469
"421","ITA",23742,3244,26986,466503,493489,-11122,8864,3268262,117243,NA,NA,3878994,55241172,24596625,"",141,NA,NA,3749244,129750,43335684,11905488,2021-04-19,8863,-67,94,-11149,19669,316,146728,-3830,-11122,27,16.5532490974729,14.2411078748768,504611,-2.20407402930178,0.0626224953479017,3.89785399049961
"422","ITA",23255,3151,26406,456309,482715,-10774,12074,3290715,117633,NA,NA,3891063,55535217,24691595,"",182,NA,NA,3760237,130826,43485291,12049926,2021-04-20,12069,-93,-487,-10194,22453,390,294045,3210,-10774,-580,24.3535696538016,14.2725052254358,493489,-2.18323002133786,0.0790291171637058,4.54984812224791
"423","ITA",22784,3076,25860,449775,475635,-7080,13844,3311267,117997,NA,NA,3904899,55885251,24794274,"",155,NA,NA,3772885,132014,43673704,12211547,2021-04-21,13836,-75,-471,-6534,20552,364,350034,1770,-7080,-546,25.2841664258885,14.3115739997373,482715,-1.46670395575029,0.0754068135442238,4.25758470318925
"424","ITA",22094,3021,25115,447081,472196,-3439,16050,3330392,118357,NA,NA,3920945,56250055,24905379,"",174,NA,NA,3788264,132681,43862164,12387891,2021-04-22,16046,-55,-690,-2694,19125,360,364804,2206,-3439,-745,22.7292211838006,14.3460454048705,475635,-0.72303341848266,0.0756882903907408,4.0209404270081
"425","ITA",21440,2979,24419,441124,465543,-6653,14761,3351461,118699,NA,NA,3935703,56565755,25004299,"",153,NA,NA,3802126,133577,44037316,12528439,2021-04-23,14758,-42,-654,-5957,21069,342,315700,-1289,-6653,-696,21.3874398753472,14.3724653511711,472196,-1.40894882633483,0.0724275512710823,4.46191835593694
"426","ITA",20971,2894,23865,437583,461448,-4095,13817,3369048,119021,NA,NA,3949517,56886535,25114307,"",143,NA,NA,3815137,134380,44211571,12674964,2021-04-24,13814,-85,-469,-3541,17587,322,320780,-944,-4095,-554,23.2163277122385,14.4034156581678,465543,-0.879617994470973,0.0691665431549825,3.77773911325055
"427","ITA",20662,2862,23524,437688,461212,-236,13158,3382224,119238,NA,NA,3962674,57126017,25204896,"",114,NA,NA,3827656,135018,44357013,12769004,2021-04-25,13157,-32,-309,105,13176,217,239482,-659,-236,-341,18.2004863961088,14.4160274097743,461448,-0.0511433574313899,0.0470258837398797,2.8553596504915
"428","ITA",20635,2849,23484,429328,452812,-8400,8444,3398763,119539,NA,NA,3971114,57271836,25260009,"",132,NA,NA,3835849,135265,44452541,12819295,2021-04-26,8440,-13,-27,-8360,16539,301,145819,-4714,-8400,-40,17.2689483657035,14.4221082547618,461212,-1.82128825789442,0.0652628292412166,3.58598648777569
"429","ITA",20312,2748,23060,425089,448149,-4663,10404,3413451,119912,NA,NA,3981512,57574570,25359025,"",177,NA,NA,3844994,136518,44602172,12972398,2021-04-27,10398,-101,-323,-4239,14688,373,302734,1960,-4663,-424,29.09784698193,14.4604788331669,452812,-1.02978719645239,0.0823741420280381,3.24373028983331
"430","ITA",19860,2711,22571,420200,442771,-5378,13385,3431867,120256,NA,NA,3994894,57910906,25467042,"",168,NA,NA,3857606,137288,44795818,13115088,2021-04-28,13382,-37,-452,-4889,18416,344,336336,2981,-5378,-489,25.1278296600672,14.4962309387934,448149,-1.2000473056952,0.0767601846707233,4.10934756074431
"431","ITA",19351,2640,21991,416718,438709,-4062,14320,3449955,120544,NA,NA,4009208,58240981,25583477,"",129,NA,NA,3871310,137898,44982109,13258872,2021-04-29,14314,-71,-509,-3482,18088,288,330075,935,-4062,-580,23.0499301675978,14.5268045459353,442771,-0.917404256376321,0.0650449103486904,4.08518173051081
"432","ITA",18940,2583,21523,414747,436270,-2439,13446,3465576,120807,NA,NA,4022653,58579752,25689062,"",137,NA,NA,3884033,138620,45160101,13419651,2021-04-30,13445,-57,-411,-1971,15621,263,338771,-874,-2439,-468,25.1949278595865,14.5624671081498,438709,-0.555949387863025,0.0599486219794898,3.56067461574757
"433","ITA",18381,2522,20903,409639,430542,-5728,12965,3484042,121033,NA,NA,4035617,58957954,25805883,"",143,NA,NA,3896229,139388,45347122,13610832,2021-05-01,12964,-61,-559,-5108,18466,226,378202,-481,-5728,-620,29.170998843039,14.609402725779,436270,-1.31294840351159,0.0518027826804502,4.2326999335274
"434","ITA",18345,2524,20869,410037,430906,364,9148,3492679,121177,NA,NA,4044762,59114826,25869438,"",109,NA,NA,3905196,139566,45461412,13653414,2021-05-02,9145,2,-36,398,8637,144,156872,-3817,364,-34,17.1482291211194,14.6151556012443,430542,0.0845445972750626,0.0334462143066182,2.0060760622657
"435","ITA",18395,2490,20885,402673,423558,-7348,5948,3505717,121433,NA,NA,4050708,59236655,25916186,"",121,NA,NA,3910871,139837,45538751,13697904,2021-05-03,5946,-34,50,-7364,13038,256,121829,-3200,-7348,16,20.4823470073974,14.6237781148382,430906,-1.70524429922071,0.0594097088460128,3.02571790599342
"436","ITA",18176,2423,20599,393290,413889,-9669,9116,3524194,121738,NA,NA,4059821,59552161,26010560,"",136,NA,NA,3919045,140776,45686281,13865880,2021-05-04,9113,-67,-219,-9383,18477,305,315506,3168,-9669,-286,34.6101360245722,14.6686666727425,423558,-2.28280424404686,0.07200902827948,4.36233054268837
"437","ITA",17520,2368,19888,387241,407129,-6760,10585,3541266,122005,NA,NA,4070400,59879330,26124917,"",142,NA,NA,3929071,141329,45876644,14002686,2021-05-05,10579,-55,-656,-6049,17072,267,327169,1469,-6760,-711,30.9087387812943,14.710920302673,413889,-1.63328815213741,0.0645100497959598,4.12477741616714
"438","ITA",16867,2308,19175,383627,402802,-4327,11807,3557133,122263,NA,NA,4082198,60203970,26238166,"",127,NA,NA,3940320,141878,46066040,14137930,2021-05-06,11798,-60,-653,-3614,15867,258,324640,1222,-4327,-713,27.4955534852206,14.7479299142276,407129,-1.06280810259156,0.0633705778758084,3.89729053936222
"439","ITA",16331,2253,18584,378980,397564,-5238,10554,3572713,122470,NA,NA,4092747,60532582,26343704,"",109,NA,NA,3950367,142380,46238660,14293922,2021-05-07,10549,-55,-536,-4647,15580,207,328612,-1253,-5238,-591,31.1362516581391,14.7902086300473,402802,-1.30039076270724,0.0513900129592207,3.86790532321091
"440","ITA",15799,2211,18010,372110,390120,-7444,10176,3590107,122694,NA,NA,4102921,60871018,26453189,"",110,NA,NA,3960023,142898,46409365,14461653,2021-05-08,10174,-42,-532,-6870,17394,224,338436,-378,-7444,-574,33.2582547169811,14.8360199964854,397564,-1.87240293386725,0.0563431296596271,4.37514463080158
"441","ITA",15420,2192,17612,366242,383854,-6266,8292,3604523,122833,NA,NA,4111210,61097024,26539037,"",103,NA,NA,3967968,143242,46550555,14546469,2021-05-09,8289,-19,-379,-5868,14416,139,226006,-1884,-6266,-398,27.2559093101785,14.8610808010294,390120,-1.60617245975597,0.035630062544858,3.69527324925664
"442","ITA",15427,2158,17585,356085,373670,-10184,5080,3619586,123031,NA,NA,4116287,61227024,26584979,"",80,NA,NA,3972875,143412,46631530,14595494,2021-05-10,5077,-34,7,-10157,15063,198,130000,-3212,-10184,-27,25.5905511811024,14.8743331065108,383854,-2.65309206104404,0.0515821119488139,3.92414824386355
"443","ITA",14937,2056,16993,346866,363859,-9811,6946,3636089,123282,NA,NA,4123230,61513452,26673109,"",100,NA,NA,3979095,144135,46766636,14746816,2021-05-11,6943,-102,-490,-9219,16503,251,286428,1866,-9811,-592,41.2363950475094,14.9187535015025,373670,-2.62557871919073,0.0671715684962668,4.41646372467685
"444","ITA",14280,1992,16272,336150,352422,-11437,7852,3655112,123544,NA,NA,4131078,61820196,26766895,"",91,NA,NA,3986624,144454,46933112,14887084,2021-05-12,7848,-64,-657,-10716,19023,262,306744,906,-11437,-721,39.0657157412124,14.9646644289941,363859,-3.14325054485391,0.0720059143789215,5.22812408103139
"445","ITA",13608,1893,15501,330507,346008,-6414,8085,3669407,123745,NA,NA,4139160,62107222,26862873,"",81,NA,NA,3994263,144897,47095876,15011346,2021-05-13,8082,-99,-672,-5643,14295,201,287026,233,-6414,-771,35.5010513296228,15.004788894365,352422,-1.81997718644126,0.0570338968622844,4.05621669475799
"446","ITA",13050,1860,14910,324696,339606,-6402,7567,3683189,123927,NA,NA,4146722,62405408,26954888,"",99,NA,NA,4001392,145330,47260816,15144592,2021-05-14,7562,-33,-558,-5811,13782,182,298186,-518,-6402,-591,39.4061054579093,15.0493348722195,346008,-1.85024623708122,0.052599939885783,3.98314489838385
"447","ITA",12493,1805,14298,318532,332830,-6776,6659,3696481,124063,NA,NA,4153374,62700094,27050515,"",63,NA,NA,4007732,145642,47414716,15285378,2021-05-15,6652,-55,-557,-6164,13292,136,294686,-908,-6776,-612,44.2537918606397,15.0961830068759,339606,-1.99525332296838,0.0400464067183736,3.91394733897517
"448","ITA",12134,1779,13913,314969,328882,-3948,5753,3706084,124156,NA,NA,4159122,62902667,27119978,"",60,NA,NA,4013250,145872,47535456,15367211,2021-05-16,5748,-26,-359,-3563,9603,93,202573,-906,-3948,-385,35.2117156266296,15.1240254553726,332830,-1.18619114863444,0.0279421927109936,2.88525673767389
"449","ITA",12024,1754,13778,309113,322891,-5991,3455,3715389,124296,NA,NA,4162576,63021591,27161204,"",69,NA,NA,4016570,146006,47612326,15409265,2021-05-17,3454,-25,-110,-5856,9305,140,118924,-2298,-5991,-135,34.4208393632417,15.1400457312972,328882,-1.82162599351743,0.0425684592042131,2.82928223496573
"450","ITA",11539,1689,13228,302080,315308,-7583,4452,3727220,124497,NA,NA,4167025,63284455,27239427,"",86,NA,NA,4020602,146423,47737696,15546759,2021-05-18,4449,-65,-485,-7033,11831,201,262864,997,-7583,-550,59.0440251572327,15.1869631211716,322891,-2.34847053649684,0.0622501091699676,3.66408478402929
"451","ITA",11018,1643,12661,294069,306730,-8578,5506,3741149,124646,NA,NA,4172525,63571711,27325605,"",70,NA,NA,4025797,146728,47893803,15677908,2021-05-19,5500,-46,-521,-8011,13929,149,287256,1054,-8578,-567,52.1714493280058,15.2357891204966,315308,-2.72051454450886,0.047255382039149,4.41758534512286
"452","ITA",10383,1544,11927,287559,299486,-7244,5741,3753965,124810,NA,NA,4178261,63822748,27404562,"",69,NA,NA,4031285,146976,48031457,15791291,2021-05-20,5736,-99,-635,-6510,12816,164,251037,235,-7244,-734,43.7270510364048,15.2749548197205,306730,-2.36168617350764,0.0534672187265673,4.17826753170541
"453","ITA",9925,1469,11394,280394,291788,-7698,5218,3766660,125028,NA,NA,4183476,64092492,27485060,"",51,NA,NA,4036172,147304,48170366,15922126,2021-05-21,5215,-75,-458,-7165,12695,218,269744,-523,-7698,-533,51.6949022614028,15.3203919420119,299486,-2.57040395878271,0.0727913825688012,4.23892936564647
"454","ITA",9488,1430,10918,272826,283744,-8044,4717,3779293,125153,NA,NA,4188190,64379095,27568979,"",64,NA,NA,4040695,147495,48308709,16070386,2021-05-22,4714,-39,-437,-7568,12633,125,286603,-501,-8044,-476,60.7595929616282,15.3715793696084,291788,-2.75679602999438,0.0428393216993159,4.32951320821967
"455","ITA",9161,1410,10571,270521,281092,-2652,3995,3785866,125225,NA,NA,4192183,64558486,27633494,"",48,NA,NA,4044540,147643,48418737,16139749,2021-05-23,3993,-20,-327,-2305,6573,72,179391,-722,-2652,-347,44.9038798498123,15.3997299259121,283744,-0.934645314085937,0.0253749859027856,2.31652475470847
"456","ITA",8950,1382,10332,266107,276439,-4653,2490,3792898,125335,NA,NA,4194672,64665967,27667011,"",48,NA,NA,4046925,147747,48484559,16181408,2021-05-24,2489,-28,-211,-4414,7032,110,107481,-1505,-4653,-239,43.1650602409639,15.4162153798914,281092,-1.6553299275682,0.0391330952143782,2.50167205043189
"457","ITA",8557,1323,9880,258265,268145,-8294,3224,3804246,125501,NA,NA,4197892,64918613,27736735,"",46,NA,NA,4049869,148023,48606788,16311825,2021-05-25,3220,-59,-393,-7842,11348,166,252646,734,-8294,-452,78.3641439205955,15.464574362561,276439,-3.00030024707078,0.0600494141564685,4.10506477016629
"458","ITA",8118,1278,9396,250633,260029,-8116,3937,3816176,125622,NA,NA,4201827,65179575,27814240,"",39,NA,NA,4053486,148341,48751537,16428038,2021-05-26,3935,-45,-439,-7632,11930,121,260962,713,-8116,-484,66.2844805689611,15.5121986221708,268145,-3.02672061757631,0.0451248391728356,4.4490853829085
"459","ITA",7707,1206,8913,244280,253193,-6836,4147,3826984,125793,NA,NA,4205970,65423542,27887155,"",38,NA,NA,4057441,148529,48882902,16540640,2021-05-27,4143,-72,-411,-6353,10808,171,243967,210,-6836,-483,58.8297564504461,15.5549235966971,260029,-2.6289375415819,0.0657618957885467,4.15645947182814
"460","ITA",7192,1142,8334,237936,246270,-6923,3738,3837518,125919,NA,NA,4209707,65673453,27959544,"",41,NA,NA,4061018,148689,49006889,16666564,2021-05-28,3737,-64,-515,-6344,10534,126,249911,-409,-6923,-579,66.8568753344034,15.6004807460472,253193,-2.73427780388873,0.0497644089686524,4.16046257203003
"461","ITA",6800,1095,7895,234071,241966,-4304,3351,3845087,126002,NA,NA,4213055,65920783,28028719,"",29,NA,NA,4064148,148907,49128052,16792731,2021-05-29,3348,-47,-392,-3865,7569,83,247330,-387,-4304,-439,73.8078185616234,15.6467890877285,246270,-1.7476753157104,0.0337028464693223,3.07345596296747
"462","ITA",6591,1061,7652,230644,238296,-3670,2949,3851661,126046,NA,NA,4216003,66085278,28083522,"",27,NA,NA,4066958,149045,49219780,16865498,2021-05-30,2948,-34,-209,-3427,6574,44,164495,-402,-3670,-243,55.7799253984401,15.6748650321169,241966,-1.51674202160634,0.0181843730110842,2.7169106403379
"463","ITA",6482,1033,7515,226159,233674,-4622,1820,3858019,126128,NA,NA,4217821,66172255,28113732,"",38,NA,NA,4068728,149093,49269468,16902787,2021-05-31,1818,-28,-109,-4485,6358,82,86977,-1129,-4622,-137,47.7895604395604,15.6887300338255,238296,-1.93960452546413,0.0344109846577366,2.66811024943767
"464","ITA",6192,989,7181,218570,225751,-7923,2483,3868332,126221,NA,NA,4220304,66394073,28176202,"",41,NA,NA,4071006,149298,49375245,17018828,2021-06-01,2483,-44,-290,-7589,10313,93,221818,663,-7923,-334,89.3346757954088,15.7320593492791,233674,-3.3906211217337,0.0397990362641971,4.41341355906091
"465","ITA",5858,933,6791,203259,210050,-15701,2897,3886867,126283,NA,NA,4223200,66620345,28242102,"",33,NA,NA,4073711,149489,49495271,17125074,2021-06-02,2896,-56,-334,-15311,18535,62,226272,414,-15701,-390,78.1056265101829,15.7748496400833,225751,-6.95500795123831,0.0274638872031575,8.21037337597619
"466","ITA",5717,892,6609,198953,205562,-4488,1968,3893259,126342,NA,NA,4225163,66717978,28277767,"",24,NA,NA,4075619,149544,49557296,17160682,2021-06-03,1963,-41,-141,-4306,6392,59,97633,-929,-4488,-182,49.6102642276423,15.7906281958826,210050,-2.13663413472983,0.0280885503451559,3.04308497976672
"467","ITA",5488,836,6324,193868,200192,-5370,2557,3901112,126415,NA,NA,4227719,66938917,28338795,"",22,NA,NA,4077954,149765,49661208,17277709,2021-06-04,2556,-56,-229,-5085,7853,73,220939,589,-5370,-285,86.4055533828706,15.8333410995385,205562,-2.61235053171306,0.035512400151779,3.8202586081085
"468","ITA",5193,788,5981,189388,195369,-4823,2436,3908312,126472,NA,NA,4230153,67177549,28406266,"",20,NA,NA,4080238,149915,49774399,17403150,2021-06-05,2434,-48,-295,-4480,7200,57,238632,-121,-4823,-343,97.9605911330049,15.8806428514524,200192,-2.40918718030691,0.0284726662404092,3.59654731457801
"469","ITA",4963,774,5737,186535,192272,-3097,2275,3913633,126523,NA,NA,4232428,67327507,28461571,"",20,NA,NA,4082442,149986,49862425,17465082,2021-06-06,2275,-14,-230,-2853,5321,51,149958,-161,-3097,-244,65.9156043956044,15.907537470218,195369,-1.5852054317727,0.0261044485051364,2.72356412736923
"470","ITA",4910,759,5669,182784,188453,-3819,1273,3918657,126588,NA,NA,4233698,67412074,28488295,"",25,NA,NA,4083672,150026,49912181,17499893,2021-06-07,1270,-15,-53,-3751,5024,65,84567,-1002,-3819,-68,66.4312647289866,15.922740356067,192272,-1.98624864774902,0.0338062744445369,2.61296496629774
"471","ITA",4685,688,5373,176353,181726,-6727,1896,3927176,126690,NA,NA,4235592,67632991,28548684,"",17,NA,NA,4085408,150184,50013870,17619121,2021-06-08,1894,-71,-225,-6431,8519,102,220917,623,-6727,-296,116.517405063291,15.9677775857542,188453,-3.5695902957236,0.0541249011689917,4.52049052018275
"472","ITA",4382,661,5043,169892,174935,-6791,2199,3936088,126767,NA,NA,4237790,67851729,28610221,"",24,NA,NA,4087520,150270,50136828,17714901,2021-06-09,2198,-27,-303,-6461,8912,77,218738,303,-6791,-330,99.4715779899955,16.0111116879317,181726,-3.73694463092788,0.0423714823415472,4.9040863717905
"473","ITA",4153,626,4779,164530,169309,-5626,2079,3943704,126855,NA,NA,4239868,68039849,28667166,"",30,NA,NA,4089483,150385,50244071,17795778,2021-06-10,2078,-35,-229,-5362,7616,88,188120,-120,-5626,-264,90.4858104858105,16.0476337942596,174935,-3.21605167633692,0.0503043987766885,4.35361705776431
"474","ITA",3876,597,4473,160766,165239,-4070,1901,3949597,126924,NA,NA,4241760,68257459,28722085,"",21,NA,NA,4091256,150504,50341628,17915831,2021-06-11,1892,-29,-277,-3764,5893,69,217610,-178,-4070,-306,114.471330878485,16.0917777054807,169309,-2.4038887477925,0.0407538878618384,3.48061827782339
"475","ITA",3655,574,4229,158180,162409,-2830,1723,3954097,126976,NA,NA,4243482,68470425,28776813,"",25,NA,NA,4092990,150492,50436753,18033672,2021-06-12,1722,-23,-221,-2586,4500,52,212966,-178,-2830,-244,123.601857225769,16.135434296646,165239,-1.71267073753775,0.0314695683222484,2.72332802788688
"476","ITA",3542,565,4107,156206,160313,-2096,1390,3957557,127002,NA,NA,4244872,68604561,28817395,"",20,NA,NA,4094276,150596,50510527,18094034,2021-06-13,1390,-9,-113,-1974,3460,26,134136,-333,-2096,-122,96.5007194244604,16.1617502247418,162409,-1.29056887241471,0.0160089650204114,2.13042380656244
"477","ITA",3465,536,4001,153789,157790,-2523,907,3960951,127038,NA,NA,4245779,68683489,28841384,"",11,NA,NA,4095163,150616,50555019,18128470,2021-06-14,907,-29,-77,-2417,3394,36,78928,-483,-2523,-106,87.0209481808159,16.1768874451544,160313,-1.57379626106429,0.0224560703124513,2.11710840667943
"478","ITA",3333,504,3837,102069,105906,-51884,1255,4014025,127101,NA,NA,4247032,68896197,28896891,"",26,NA,NA,4096343,150689,50656352,18239845,2021-06-15,1253,-32,-132,-51720,53074,63,212708,348,-51884,-164,169.488446215139,16.2221987025292,157790,-32.8816781798593,0.0399264845680968,33.63584511059
"479","ITA",3064,471,3535,98320,101855,-4051,1400,4019424,127153,NA,NA,4248432,69099370,28945563,"",9,NA,NA,4097711,150721,50764084,18335286,2021-06-16,1400,-33,-269,-3749,5399,52,203173,145,-4051,-302,145.123571428571,16.264676002817,105906,-3.82509017430552,0.0491001454119691,5.09791702075425
"480","ITA",2888,444,3332,95276,98608,-3247,1325,4023957,127190,NA,NA,4249755,69299685,28995279,"",15,NA,NA,4098983,150772,50864061,18435624,2021-06-17,1323,-27,-176,-3044,4533,37,200315,-75,-3247,-203,151.181132075472,16.3067482713709,101855,-3.18786510235138,0.0363261499190025,4.45044425899563
"481","ITA",2680,416,3096,88976,92072,-6536,1147,4031605,127225,NA,NA,4250902,69515711,29044741,"",11,NA,NA,4100092,150810,50952072,18563639,2021-06-18,1147,-28,-208,-6300,7648,35,216026,-178,-6536,-236,188.340017436792,16.3531671631103,98608,-6.62826545513549,0.03549407755963,7.75596300503002
"482","ITA",2504,394,2898,86252,89150,-2922,1197,4035692,127253,NA,NA,4252095,69765699,29100240,"",10,NA,NA,4101228,150867,51042709,18722990,2021-06-19,1193,-22,-176,-2724,4087,28,249988,50,-2922,-198,208.84544695071,16.40737071961,92072,-3.17360326700843,0.0304109827091841,4.43891736901555
"483","ITA",2444,389,2833,84877,87710,-1440,881,4037996,127270,NA,NA,4252976,69916221,29139717,"",12,NA,NA,4102088,150888,51109726,18806495,2021-06-20,881,-5,-60,-1375,2304,17,150522,-316,-1440,-65,170.853575482406,16.4393641064516,89150,-1.61525518788559,0.0190689848569826,2.58440830061694
"484","ITA",2390,385,2775,74078,76853,-10857,495,4049316,127291,NA,NA,4253460,69997973,29161438,"",9,NA,NA,4102545,150915,51149035,18848938,2021-06-21,484,-4,-54,-10799,11320,21,81752,-386,-10857,-58,165.155555555556,16.4567135931689,87710,-12.3782920989625,0.0239425379090184,12.9061680538137
"485","ITA",2289,362,2651,70313,72964,-3889,835,4054008,127322,NA,NA,4254294,70190855,29210013,"",10,NA,NA,4103332,150962,51242092,18948763,2021-06-22,834,-23,-101,-3765,4692,31,192882,340,-3889,-124,230.996407185629,16.498825657089,76853,-5.06030994235749,0.0403367467763132,6.10516180240199
"486","ITA",2140,344,2484,66135,68619,-4345,951,4059463,127334,NA,NA,4255434,70388886,29259826,"",4,NA,NA,4104433,151001,51346290,19042596,2021-06-23,1140,-18,-149,-4178,5455,12,198031,116,-4345,-167,208.234490010515,16.5409417699816,72964,-5.95499150265885,0.0164464667507264,7.47628967710104
"487","ITA",2027,328,2355,59954,62309,-6310,927,4066029,127362,NA,NA,4255700,70577077,29271255,"",12,NA,NA,4104995,150705,51428966,19148111,2021-06-24,266,-16,-113,-6181,6566,28,188191,-24,-6310,-129,203.010787486516,16.584128815471,68619,-9.1957038138125,0.0408050248473455,9.56877832670252
"488","ITA",1899,306,2205,58030,60235,-2074,753,4068798,127418,NA,NA,4256451,70769618,29313666,"",8,NA,NA,4105701,150750,51505508,19264110,2021-06-25,751,-22,-128,-1924,2769,56,192541,-174,-2074,-150,255.698539176627,16.6264378469293,62309,-3.32857211638768,0.0898746569516442,4.44398080534112
"489","ITA",1771,298,2069,55663,57732,-2503,838,4072099,127458,NA,NA,4257289,70994111,29367696,"",9,NA,NA,4106499,150790,51585935,19408176,2021-06-26,838,-8,-128,-2367,3301,40,224493,85,-2503,-136,267.891408114558,16.6758965623428,60235,-4.15539138374699,0.0664065742508508,5.48020254005147
"490","ITA",1743,294,2037,55125,57162,-570,782,4073435,127472,NA,NA,4258069,71131694,29405776,"",10,NA,NA,4107243,150826,51647749,19483945,2021-06-27,780,-4,-28,-538,1336,14,137583,-56,-570,-32,175.937340153453,16.7051529695738,57732,-0.98732072334234,0.0242499826785838,2.31414120418485
